Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,92.73070067123591,94.77999501810811,92.16248588194682,94.19315338134766,35329300,0.0,0.0
2019-01-03 00:00:00-05:00,93.24301756134673,93.32685613906989,90.5416699356985,90.72797393798828,42579100,0.0,0.0
2019-01-04 00:00:00-05:00,92.88904362449493,95.48792562993353,92.15315886108223,94.9476547241211,44060600,0.0,0.0
2019-01-07 00:00:00-05:00,94.67750555680239,96.19584553067855,94.06272025150858,95.06873321533203,35656100,0.0,0.0
2019-01-08 00:00:00-05:00,95.98159901498917,96.84789283857305,94.74270439830389,95.75804138183594,31514400,0.0,0.0
2019-01-09 00:00:00-05:00,96.74544674618706,97.69557220674126,96.16791504630794,97.12735748291016,32280800,0.0,0.0
2019-01-10 00:00:00-05:00,96.14928322503938,96.64297632847756,95.3668207332209,96.50325012207031,30067600,0.0,0.0
2019-01-11 00:00:00-05:00,96.12132520074832,96.35419980809056,94.67749979251883,95.75804138183594,28314200,0.0,0.0
2019-01-14 00:00:00-05:00,94.91971439314864,95.82326922584178,94.32355582231888,95.05944061279297,28437100,0.0,0.0
2019-01-15 00:00:00-05:00,95.48791180465614,97.85391881227768,94.9010632100521,97.81665802001953,31587600,0.0,0.0
2019-01-16 00:00:00-05:00,98.0495253974329,98.98102381475704,97.77007302952809,98.16130065917969,29853900,0.0,0.0
2019-01-17 00:00:00-05:00,97.80736584520311,99.32570620417194,97.58380814173859,98.85064697265625,28393000,0.0,0.0
2019-01-18 00:00:00-05:00,100.09884378300629,100.50870546197247,98.65502514379754,100.33171844482422,37427600,0.0,0.0
2019-01-22 00:00:00-05:00,99.43747623484761,99.76349932573893,97.67694443726407,98.4407730102539,32371300,0.0,0.0
2019-01-23 00:00:00-05:00,98.85063438398751,99.70761139377449,98.12405950340775,99.40021514892578,25874300,0.0,0.0
2019-01-24 00:00:00-05:00,99.53994049460114,99.67034972944384,98.12405864949432,98.9251480102539,23164800,0.0,0.0
