Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,36.750281492025124,37.68986030291286,36.593684420142715,37.469200134277344,148158800,0.0,0.0
2019-01-03 00:00:00-05:00,34.16170203892372,34.574547927015324,33.69191438723821,33.736995697021484,365248800,0.0,0.0
2019-01-04 00:00:00-05:00,34.29219923540596,35.24601358953824,34.11899533904399,35.17720413208008,234428400,0.0,0.0
2019-01-07 00:00:00-05:00,35.28160791885267,35.31245379240385,34.61725948663249,35.09891128540039,219111200,0.0,0.0
2019-01-08 00:00:00-05:00,35.48565323681881,36.021878993464554,35.238897140785376,35.768001556396484,164101200,0.0,0.0
2019-01-09 00:00:00-05:00,35.89611269551247,36.66485886166989,35.50225233829682,36.37539291381836,180396400,0.0,0.0
2019-01-10 00:00:00-05:00,36.183217066092084,36.53199984154206,35.79409933557466,36.49166488647461,143122800,0.0,0.0
2019-01-11 00:00:00-05:00,36.27337496621485,36.46793199596804,35.94831676050969,36.133384704589844,108092800,0.0,0.0
2019-01-14 00:00:00-05:00,35.79173197667657,35.891383692191056,35.40498556947879,35.59005355834961,129756800,0.0,0.0
2019-01-15 00:00:00-05:00,35.65411403047625,36.39438593118797,35.601914999486866,36.31846237182617,114843600,0.0,0.0
2019-01-16 00:00:00-05:00,36.32084058076156,36.98518904726328,36.30185878224347,36.76215744018555,122278800,0.0,0.0
2019-01-17 00:00:00-05:00,36.58657410659207,37.40751959655014,36.36354252641356,36.980438232421875,119284800,0.0,0.0
2019-01-18 00:00:00-05:00,37.369549802011335,37.45971241403209,37.00890297433515,37.20820999145508,135004000,0.0,0.0
2019-01-22 00:00:00-05:00,37.11093212681015,37.186855683764556,36.21168817452131,36.37303161621094,121576000,0.0,0.0
2019-01-23 00:00:00-05:00,36.57471200591153,36.80960767396495,35.9934084941028,36.5201416015625,92522400,0.0,0.0
2019-01-24 00:00:00-05:00,36.565218274806185,36.65300590810053,36.00289663164888,36.23067092895508,101766000,0.0,0.0
2019-01-25 00:00:00-05:00,36.89027913828178,37.51903897969798,36.61505211762605,37.43124771118164,134142000,0.0,0.0
2019-01-28 00:00:00-05:00,36.963834162658024,37.09196040414421,36.45845778019692,37.084842681884766,104768400,0.0,0.0
2019-01-29 00:00:00-05:00,37.07297331497307,37.519036488429236,36.565222017267494,36.700462341308594,166348800,0.0,0.0
2019-01-30 00:00:00-05:00,38.73383622739391,39.421909052183295,38.017288901847,39.208370208740234,244439200,0.0,0.0
2019-01-31 00:00:00-05:00,39.41242029951825,40.09812176355808,39.044655736776996,39.490718841552734,162958400,0.0,0.0
2019-02-01 00:00:00-05:00,39.61410648111566,40.09338329388807,39.36971809982081,39.509708404541016,130672400,0.0,0.0
2019-02-04 00:00:00-05:00,39.72087632465673,40.729261252002615,39.69003045070155,40.631980895996094,125982000,0.0,0.0
2019-02-05 00:00:00-05:00,41.01397692943241,41.54070999970741,40.89297205344229,41.32716751098633,144406400,0.0,0.0
