Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,3.2348809239183947,3.429013258388677,3.2202714611216474,3.373051643371582,508752000,0.0,0.0
2019-01-03 00:00:00-05:00,3.3128810650449374,3.3468047509537686,3.161834173940892,3.169262647628784,705552000,0.0,0.0
2019-01-04 00:00:00-05:00,3.242309633257826,3.4104422086734654,3.2116051054063632,3.3723092079162598,585620000,0.0,0.0
2019-01-07 00:00:00-05:00,3.4295095174791683,3.587737410041579,3.378252408279678,3.55084228515625,709160000,0.0,0.0
2019-01-08 00:00:00-05:00,3.63230781142824,3.6345365657870636,3.389889803420566,3.462441921234131,786016000,0.0,0.0
2019-01-09 00:00:00-05:00,3.513698909920698,3.5778321572029506,3.4631849627780333,3.5305371284484863,617260000,0.0,0.0
2019-01-10 00:00:00-05:00,3.5112232812615605,3.60482271243211,3.4508043821688683,3.596156120300293,523156000,0.0,0.0
2019-01-11 00:00:00-05:00,3.57387062673555,3.7080797783897244,3.5461375306410936,3.6852989196777344,874764000,0.0,0.0
2019-01-14 00:00:00-05:00,3.6330505989268924,3.750421503288713,3.6095268272091663,3.7251644134521484,730168000,0.0,0.0
2019-01-15 00:00:00-05:00,3.7578510668778264,3.797222431176594,3.6927276413992356,3.7110514640808105,617012000,0.0,0.0
2019-01-16 00:00:00-05:00,3.7382891076955467,3.77122215927641,3.6800989606620003,3.685546398162842,470104000,0.0,0.0
2019-01-17 00:00:00-05:00,3.6526129641538416,3.7967265753472876,3.6253748349137225,3.7568600177764893,493436000,0.0,0.0
2019-01-18 00:00:00-05:00,3.806631345995397,3.911869037587816,3.7551267594139857,3.885869026184082,651336000,0.0,0.0
2019-01-22 00:00:00-05:00,3.8556598047693034,3.8672978334715524,3.6536035256723487,3.6838128566741943,661552000,0.0,0.0
2019-01-23 00:00:00-05:00,3.7390312028053936,3.8276783812887025,3.665488687412012,3.696688413619995,591020000,0.0,0.0
2019-01-24 00:00:00-05:00,3.781127272802894,3.9259835875739695,3.7764225172060657,3.908402919769287,708972000,0.0,0.0
